82|41|2008-06-13|2011-08-23
24|23|2020-08-01|2018-06-07
24|48|2011-04-07|2005-08-28
14|87|2019-01-31|2013-05-30
2|6|2009-08-17|2007-05-21
3|47|2009-06-08|2002-09-02
47|85|2001-11-29|2007-12-27
59|89|2005-04-21|2009-04-07
34|17|2008-08-04|2004-05-21
48|54|2006-12-22|2001-01-13
25|91|2007-05-13|2005-06-07
86|73|2006-11-30|2003-11-26
20|81|2017-03-16|2006-02-27
98|58|2004-03-31|2007-06-15
1|16|2014-08-21|2009-03-11
1|81|2011-09-10|2018-03-22
76|98|2000-06-21|2014-10-07
10|77|2002-11-17|2002-02-02
56|76|2008-02-06|2008-06-17
26|94|2020-09-22|2019-05-14
67|61|2010-07-25|2015-09-30
5|2|2014-05-02|2000-06-17
29|81|2000-09-28|2013-11-21
58|6|2015-07-08|2007-11-14
34|5|2013-01-14|2017-08-17
52|9|2000-06-10|2014-08-24
66|21|2012-05-12|2001-03-23
87|36|2011-11-29|2003-01-16
26|6|2008-12-10|2004-06-17
90|29|2015-02-20|2015-07-10
19|54|2002-09-29|2015-08-27
94|67|2008-10-26|2019-04-18
88|14|2019-09-23|2000-02-28
85|0|2014-12-01|2019-06-21
54|53|2013-05-08|2001-05-23
34|91|2007-11-16|2014-07-09
57|65|2001-05-09|2011-07-19
2|77|2008-06-21|2011-12-22
17|91|2004-01-06|2021-06-15
85|67|2003-02-17|2004-08-17
25|29|2003-08-25|2012-10-08
38|27|2002-01-25|2002-08-22
99|15|2014-04-20|2017-01-10
11|99|2015-07-13|2021-04-04
19|21|2008-06-01|2002-02-08
54|85|2015-03-09|2007-11-07
55|71|2008-04-01|2012-06-14
69|71|2017-02-07|2017-08-09
66|85|2010-09-23|2004-12-06
41|41|2017-06-07|2007-02-01
68|31|2001-07-04|2004-09-18
69|83|2005-09-16|2003-09-09
48|72|2000-01-11|2001-08-04
76|52|2016-07-03|2005-07-20
60|92|2008-06-30|2004-10-16
97|56|2006-07-30|2021-12-30
2|5|2012-07-05|2013-01-06
23|2|2009-11-06|2015-02-25
56|65|2009-10-28|2005-10-26
22|82|2019-11-23|2011-11-14
47|69|2004-10-06|2020-12-11
22|10|2006-01-25|2003-01-26
7|30|2003-01-28|2015-02-08
81|91|2000-08-08|2008-04-11
37|69|2007-12-11|2004-10-29
21|41|2015-11-04|2014-02-07
26|18|2005-08-26|2019-05-22
25|16|2009-08-13|2016-01-13
16|90|2004-02-24|2015-11-16
96|50|2007-08-15|2005-11-13
13|48|2019-06-14|2007-06-05
48|71|2003-09-19|2013-04-28
35|85|2007-09-16|2011-02-19
58|50|2018-03-13|2017-08-05
28|57|2014-08-06|2017-04-15
65|83|2012-12-10|2012-08-25
62|7|2011-05-18|2018-09-21
75|94|2009-07-21|2017-09-23
99|38|2018-04-17|2004-07-31
44|34|2012-12-31|2006-04-03
49|29|2021-04-15|2004-10-30
36|19|2011-01-03|2002-07-05
94|60|2006-11-29|2003-02-14
3|48|2016-12-18|2013-11-11
89|62|2007-10-01|2020-05-18
64|74|2013-08-02|2002-04-07
15|27|2000-01-25|2015-11-17
19|61|2009-01-07|2007-02-18
6|58|2019-11-08|2006-07-16
91|40|2019-04-19|2002-07-29
78|43|2008-05-11|2020-12-02
40|30|2000-10-05|2006-01-13
66|34|2003-06-17|2015-04-05
35|1|2012-02-15|2018-10-18
58|4|2002-03-07|2015-01-25
67|15|2018-10-20|2015-01-03
61|76|2015-09-12|2018-12-04
83|25|2018-10-25|2003-08-22
34|88|2016-05-03|2015-08-15
80|75|2015-06-08|2019-06-02
